,Accuracy_BP,Accuracy_FA,Cost_BP,Cost_FA
0,0.9037,0.0647,0.351647220216963,21.676686360113113
1,0.9133,0.2178,0.2976078292614226,19.627484067691626
2,0.9243,0.2428,0.26973379904153505,18.2953139566058
3,0.9361,0.1631,0.23065536934184505,21.107775315147446
4,0.941,0.1522,0.20920918524320167,21.591123468667455
5,0.9456,0.2282,0.19198674662652934,18.613886188455286
6,0.9495,0.1573,0.17689895308066367,21.38939509377829
7,0.9534,0.1488,0.16479509197084954,19.52410081047201
8,0.9554,0.1278,0.1550808720175769,22.27314104797793
9,0.9576,0.234,0.14975396841081978,19.671616958840627
10,0.9623,0.2248,0.13632993022013035,18.45373976574766
11,0.9631,0.2657,0.13008487679872818,17.955221219204592
12,0.9658,0.2077,0.12469315770109626,19.540772005900703
13,0.9654,0.1723,0.12323736679961972,19.943369827434744
14,0.9669,0.146,0.11792861051338775,19.377485610664724
15,0.9679,0.2067,0.11564285634569314,17.02991694027127
16,0.97,0.1695,0.10922701772952596,20.721479052973773
17,0.9711,0.1177,0.10766244346162009,22.131898778660766
18,0.9696,0.1252,0.10755042915979585,21.1234132218827
19,0.9705,0.1172,0.10356533578995779,22.583992381656607
20,0.9709,0.1628,0.10333977890846911,20.661901383257376
21,0.9709,0.1082,0.10063298455165787,22.795589803052025
22,0.9712,0.1189,0.10040011466915451,21.259276387800906
23,0.9712,0.1055,0.0985878733356815,22.650294183916454
24,0.9707,0.1228,0.0994420667252632,22.238012000644673
25,0.9722,0.1676,0.09613245068468876,18.215308501930455
26,0.9714,0.1729,0.09760128200954209,20.51796244257504
27,0.9726,0.1994,0.09513197783942684,18.06493249835319
28,0.972,0.2072,0.09401738490789632,19.73065441568872
29,0.973,0.1604,0.09198178122152176,21.53121724576716
30,0.9726,0.2696,0.09384449673327643,15.688183789160068
31,0.9723,0.2512,0.0917551082326909,19.044801002099515
32,0.9742,0.1907,0.0904960375107152,20.788198019071057
33,0.9728,0.1737,0.09074690124605564,21.179472413600426
34,0.9734,0.1196,0.08881360147386061,22.601221881704944
35,0.9738,0.1899,0.0891791011623934,20.7168329430737
36,0.9728,0.1171,0.08963511574470479,22.659179839612147
37,0.9728,0.144,0.09260367394844729,21.707583940333688
38,0.9742,0.108,0.08818870197473092,22.85514070858363
39,0.9734,0.107,0.08933660682987152,22.80854024061317
40,0.9734,0.1109,0.08852220070438861,22.66101301079351
41,0.9731,0.1171,0.08948633376337457,22.42430270521631
42,0.973,0.1811,0.08863165299645581,20.810970314930255
43,0.9742,0.1088,0.08888840462504656,22.805152346449475
44,0.9726,0.1018,0.08851074830046499,23.025850929940457
45,0.9737,0.1024,0.08826119572056364,23.00429088355014
46,0.9747,0.1016,0.08912729717438309,23.025850929940457
47,0.9744,0.1023,0.08975684682636043,22.65550899477857
48,0.9744,0.1019,0.0872092006281779,22.966996970651678
49,0.975,0.1018,0.08846111036476476,23.025850929940457
