,Accuracy_BP,Accuracy_FA,Cost_BP,Cost_FA
0,0.8972,0.0994,0.35252816282740385,2.308201227899698
1,0.9196,0.1097,0.28841536957679925,2.3041427545723083
2,0.9304,0.1097,0.24977452263600236,2.3058228180435423
3,0.9358,0.1097,0.22596830002610127,2.303834126808927
4,0.9426,0.102,0.20162668171793965,2.3034619681297466
5,0.9481,0.098,0.18591365373229618,2.3032956615815805
6,0.9507,0.1097,0.17182843818027246,2.3030181924437145
7,0.9544,0.0965,0.161718260954378,2.3047175617345386
8,0.9558,0.0965,0.15531015003168686,2.3045478663965446
9,0.96,0.1097,0.144767977581834,2.303155484539172
10,0.9618,0.1097,0.1359614085460396,2.303689835243563
11,0.9625,0.0965,0.13224441848948063,2.3050400152483723
12,0.9627,0.1097,0.1283665843288956,2.303739141471532
13,0.9631,0.1097,0.12538737640821598,2.305446364482031
14,0.966,0.1097,0.11763903367627418,2.3025016037552786
15,0.9679,0.1097,0.11503312285979314,2.3031570353499022
16,0.966,0.1097,0.11514311692395597,2.304036854981772
17,0.9684,0.1039,0.10960612567517085,2.305075779868704
18,0.9697,0.1097,0.10942468545465786,2.3041897023094684
19,0.9703,0.1097,0.10618254322235353,2.3050891814149086
20,0.9707,0.0965,0.10462404785488584,2.3041574537480325
21,0.9697,0.102,0.10586059680106721,2.3037691095791537
22,0.9707,0.1097,0.1023018653803273,2.3032739014703862
23,0.9724,0.1097,0.09964208241693188,2.304160231953886
24,0.972,0.102,0.09977088440328992,2.3045614864229336
25,0.9711,0.1097,0.09887495421959756,2.304695907827413
26,0.973,0.0965,0.09795086883291722,2.303154428699909
27,0.9727,0.0994,0.09599350725377036,2.305460281340642
28,0.9718,0.1039,0.09767549558917735,2.305966667152111
29,0.9732,0.1097,0.09658598381974395,2.3039207307775476
30,0.9732,0.1097,0.09481827845615942,2.3044897126926362
31,0.9737,0.0977,0.09331415590579488,2.3055245886184808
32,0.9733,0.1018,0.09397690534898039,2.3034109870217905
33,0.9726,0.1097,0.09458432303185997,2.305300422401382
34,0.9734,0.1097,0.09420060289079242,2.3046393289385922
35,0.9735,0.1018,0.09419303608125118,2.3036937396748134
36,0.9736,0.1039,0.09382612670346427,2.303113544174315
37,0.974,0.1039,0.09281934567951204,2.3031499274866993
38,0.9738,0.0965,0.09333242954050106,2.3046950494710545
39,0.973,0.1097,0.0926905050330085,2.3027467373234662
40,0.9743,0.0957,0.09217846592613492,2.3087238077164023
41,0.9744,0.1039,0.09165341225332614,2.304186200156628
42,0.9745,0.1097,0.09182562667647974,2.3033777895159235
43,0.9737,0.1097,0.09235515548515774,2.3036721089482586
44,0.9743,0.1039,0.09209910680547358,2.305146260297108
45,0.9731,0.1039,0.09289657820634444,2.3049361091502054
46,0.9743,0.102,0.09138726597338118,2.3042371217165054
47,0.9739,0.102,0.0931845921129271,2.3057857136033277
48,0.9737,0.102,0.09201878396714626,2.30340165952081
49,0.9734,0.0994,0.09237166948498489,2.304759216436401
