,Accuracy_BP,Accuracy_FA,Cost_BP,Cost_FA
0,0.8875,0.6781,0.38575418458689326,7.237119456322869
1,0.9241,0.8342,0.2720658218638534,3.6984308696074937
2,0.9381,0.8553,0.212046543131223,3.1924812438381593
3,0.9448,0.8524,0.1882187580808284,3.1802838980017274
4,0.9527,0.8776,0.1657706986192232,2.6802686416990826
5,0.9574,0.8781,0.14770675827463298,2.6600377102811277
6,0.9602,0.8863,0.13620475237010923,2.412821559730706
7,0.9616,0.9193,0.1314215328049074,1.7290407761558075
8,0.9641,0.9274,0.12078757154055583,1.5301667875613796
9,0.9674,0.9123,0.10947373980748844,1.8475779010418643
10,0.9675,0.9164,0.10827832215432204,1.7786522244322285
11,0.9691,0.9105,0.10582301231682127,1.8383164440664586
12,0.9697,0.8786,0.10351782544819614,2.5418811454815193
13,0.9702,0.8299,0.10387299765986825,3.677892463035322
14,0.9712,0.941,0.09787108601953091,1.2417590118776687
15,0.9716,0.9158,0.09453778947614491,1.741916233392116
16,0.9692,0.9192,0.10542456310141793,1.6555479084068174
17,0.9723,0.9335,0.09212077762013905,1.3560973480554754
18,0.9737,0.9237,0.0923238962927869,1.5518525056192194
19,0.9725,0.9195,0.09223022154865021,1.6567743176828666
20,0.9722,0.946,0.09413584988700693,1.0837972100962237
21,0.9723,0.9077,0.09408865943298989,1.9470365492429549
22,0.9722,0.9153,0.09843747876627863,1.751759019077658
23,0.9734,0.9348,0.09415142200352103,1.333892394002099
24,0.9737,0.9505,0.09252647859510266,0.9764922312591785
25,0.9728,0.8963,0.09475297701929684,2.115243187106736
26,0.9739,0.9241,0.09326446597561995,1.5847676260207744
27,0.9749,0.8447,0.09104174365013666,3.282575530614594
28,0.9726,0.9138,0.09430485127071206,1.7309550805833522
29,0.9739,0.9535,0.09236059825829147,0.9469592979111522
30,0.9733,0.9364,0.09659897181627815,1.3052887053062985
31,0.9736,0.9423,0.09469380287877203,1.1521821232388652
32,0.9733,0.9315,0.10147976303957508,1.3674659645857574
33,0.9723,0.9546,0.10250164783885038,0.9050722596745536
34,0.9741,0.941,0.09686971738465058,1.1783314156083806
35,0.9743,0.9399,0.0973174843114841,1.2247226287535715
36,0.9741,0.9458,0.09835691544761484,1.0883230258485184
37,0.9742,0.9469,0.09971436106793323,1.069181900574166
38,0.9746,0.9385,0.09724583578934201,1.2325261904516962
39,0.9742,0.9381,0.10146373871034195,1.228984847078744
40,0.9738,0.9558,0.10047139862977394,0.8771369926926822
41,0.9744,0.9487,0.10185873443113906,1.0348719545879475
42,0.9742,0.8884,0.09978213302415477,2.242388911124829
43,0.9736,0.9553,0.10250648543769196,0.9087042600065124
44,0.9747,0.9554,0.10523793592290169,0.895734841549949
45,0.9742,0.9505,0.10392089226492918,1.021245128259161
46,0.974,0.9303,0.10516304053817686,1.4238110804090407
47,0.9744,0.956,0.10487830714003174,0.8877083694705387
48,0.9738,0.9285,0.10747954595297936,1.4683040492706845
49,0.9749,0.9566,0.10453533086171528,0.8768336134739653
